,0
0,"11,343,266"
1,"11,342,076"
2,"11,341,619"
3,"11,341,439"
4,"11,341,423"
5,"11,341,395"
6,"11,341,363"
7,"11,341,338"
8,"11,340,917"
9,"11,340,704"
10,"11,340,619"
11,"11,338,817"
12,"11,335,340"
13,"11,335,325"
14,"11,335,126"
15,"11,335,112"
16,"11,335,086"
17,"11,335,045"
18,"11,334,801"
19,"11,334,794"
20,"11,334,754"
21,"11,334,724"
22,"11,334,571"
23,"11,334,084"
24,"11,333,876"
25,"11,333,514"
26,"11,332,091"
27,"11,331,025"
28,"11,330,384"
29,"11,330,023"
30,"11,330,004"
31,"11,329,737"
32,"11,328,819"
33,"11,328,718"
34,"11,328,717"
35,"11,328,609"
36,"11,328,436"
37,"11,328,396"
38,"11,328,181"
39,"11,327,988"
40,"11,327,935"
41,"11,326,293"
42,"11,326,291"
43,"11,324,455"
44,"11,323,896"
45,"11,323,835"
46,"11,322,255"
47,"11,322,149"
48,"11,322,144"
49,"11,322,134"
50,"11,321,894"
51,"11,321,844"
52,"11,321,833"
53,"11,321,717"
54,"11,321,671"
55,"11,321,620"
56,"11,321,614"
57,"11,321,611"
58,"11,321,522"
59,"11,321,161"
60,"11,320,905"
61,"11,320,883"
62,"11,320,829"
63,"11,318,958"
64,"11,318,952"
65,"11,318,938"
66,"11,318,614"
67,"11,316,542"
68,"11,315,688"
69,"11,315,553"
70,"11,315,549"
71,"11,315,251"
72,"11,315,249"
73,"11,315,227"
74,"11,315,196"
75,"11,315,017"
76,"11,314,951"
77,"11,314,921"
78,"11,313,711"
79,"11,312,506"
80,"11,310,636"
81,"11,310,259"
82,"11,310,068"
83,"11,309,028"
84,"11,308,964"
85,"11,308,955"
86,"11,308,954"
87,"11,308,856"
88,"11,308,792"
89,"11,308,614"
90,"11,308,538"
91,"11,308,402"
92,"11,308,323"
93,"11,308,186"
94,"11,307,949"
95,"11,307,892"
96,"11,307,735"
97,"11,307,593"
98,"11,307,416"
99,"11,305,979"
100,"11,305,775"
101,"11,305,198"
102,"11,304,761"
103,"11,304,074"
104,"11,303,856"
105,"11,303,730"
106,"11,302,545"
107,"11,302,445"
108,"11,302,324"
109,"11,302,319"
110,"11,302,311"
111,"11,302,160"
112,"11,302,094"
113,"11,302,071"
114,"11,302,044"
115,"11,302,031"
116,"11,301,980"
117,"11,301,951"
118,"11,301,883"
119,"11,301,747"
120,"11,301,746"
121,"11,301,619"
122,"11,301,520"
123,"11,301,269"
124,"11,301,245"
125,"11,301,223"
126,"11,299,838"
127,"11,299,516"
128,"11,298,560"
129,"11,298,099"
130,"11,297,643"
131,"11,297,093"
132,"11,295,848"
133,"11,295,608"
134,"11,295,436"
135,"11,295,367"
136,"11,295,241"
137,"11,295,238"
138,"11,295,237"
139,"11,295,214"
140,"11,295,194"
141,"11,295,169"
142,"11,295,166"
143,"11,295,077"
144,"11,294,985"
145,"11,294,891"
146,"11,294,338"
147,"11,293,987"
148,"11,291,917"
149,"11,289,078"
150,"11,289,074"
151,"11,289,058"
152,"11,288,953"
153,"11,288,840"
154,"11,288,770"
155,"11,288,720"
156,"11,288,672"
157,"11,288,574"
158,"11,288,545"
159,"11,288,416"
160,"11,288,414"
161,"11,288,294"
162,"11,288,050"
163,"11,285,941"
164,"11,284,238"
165,"11,283,738"
166,"11,283,609"
167,"11,282,608"
168,"11,282,522"
169,"11,282,498"
170,"11,282,221"
171,"11,282,166"
172,"11,282,142"
173,"11,282,136"
174,"11,282,042"
175,"11,282,039"
176,"11,281,738"
177,"11,281,636"
178,"11,281,015"
179,"11,279,629"
180,"11,279,348"
181,"11,279,279"
182,"11,276,399"
183,"11,276,291"
184,"11,276,226"
185,"11,276,127"
186,"11,276,035"
187,"11,276,015"
188,"11,275,985"
189,"11,275,909"
190,"11,275,898"
191,"11,275,889"
192,"11,275,841"
193,"11,275,810"
194,"11,274,865"
195,"11,273,357"
196,"11,271,822"
197,"11,270,799"
198,"11,270,785"
199,"11,270,748"
200,"11,270,700"
201,"11,270,694"
202,"11,270,669"
203,"11,270,565"
204,"11,270,469"
205,"11,270,399"
206,"11,270,397"
207,"11,270,352"
208,"11,270,253"
209,"11,270,200"
210,"11,270,114"
211,"11,270,081"
212,"11,270,070"
213,"11,270,060"
214,"11,269,822"
215,"11,269,801"
216,"11,269,760"
217,"11,269,591"
218,"11,269,342"
219,"11,267,470"
220,"11,265,564"
221,"11,265,166"
222,"11,264,123"
223,"11,263,540"
224,"11,263,538"
225,"11,263,498"
226,"11,263,473"
227,"11,263,405"
228,"11,263,384"
229,"11,263,188"
230,"11,263,162"
231,"11,263,005"
232,"11,262,739"
233,"11,261,554"
234,"11,260,525"
235,"11,259,742"
236,"11,259,699"
237,"11,259,697"
238,"11,259,003"
239,"11,258,795"
240,"11,258,734"
241,"11,257,596"
242,"11,257,579"
243,"11,257,482"
244,"11,257,471"
245,"11,257,189"
246,"11,257,186"
247,"11,257,100"
248,"11,257,032"
249,"11,257,008"
250,"11,256,989"
251,"11,256,975"
252,"11,256,940"
253,"11,256,869"
254,"11,256,809"
255,"11,256,262"
256,"11,255,563"
257,"11,255,042"
258,"11,254,445"
259,"11,253,234"
260,"11,252,656"
261,"11,252,584"
262,"11,252,160"
263,"11,251,270"
264,"11,250,942"
265,"11,250,843"
266,"11,250,608"
267,"11,250,350"
268,"11,250,330"
269,"11,250,321"
270,"11,250,126"
271,"11,250,062"
272,"11,249,884"
273,"11,249,786"
274,"11,249,731"
275,"11,249,544"
276,"11,247,738"
277,"11,247,580"
278,"11,247,068"
279,"11,245,544"
280,"11,244,697"
281,"11,244,670"
282,"11,244,669"
283,"11,244,466"
284,"11,244,277"
285,"11,244,230"
286,"11,244,222"
287,"11,244,032"
288,"11,244,027"
289,"11,243,746"
290,"11,242,145"
291,"11,241,151"
292,"11,240,678"
293,"11,240,629"
294,"11,240,602"
295,"11,240,567"
296,"11,240,374"
297,"11,240,265"
298,"11,240,184"
299,"11,238,871"
300,"11,238,656"
301,"11,238,469"
302,"11,238,410"
303,"11,238,342"
304,"11,238,233"
305,"11,238,197"
306,"11,238,097"
307,"11,238,090"
308,"11,237,933"
309,"11,237,869"
310,"11,236,610"
311,"11,236,453"
312,"11,235,455"
313,"11,234,629"
314,"11,233,628"
315,"11,232,859"
316,"11,232,785"
317,"11,232,694"
318,"11,232,505"
319,"11,232,329"
320,"11,232,268"
321,"11,232,184"
322,"11,231,915"
323,"11,231,437"
324,"11,230,802"
325,"11,228,815"
326,"11,228,731"
327,"11,227,583"
328,"11,227,578"
329,"11,227,424"
330,"11,227,412"
331,"11,227,269"
332,"11,227,224"
333,"11,227,187"
334,"11,227,176"
335,"11,227,055"
336,"11,226,859"
337,"11,226,206"
338,"11,224,811"
339,"11,224,295"
340,"11,223,841"
341,"11,222,636"
342,"11,222,624"
343,"11,222,472"
344,"11,222,418"
345,"11,222,276"
346,"11,222,205"
347,"11,222,198"
348,"11,222,184"
349,"11,222,041"
350,"11,221,942"
351,"11,221,458"
352,"11,221,384"
353,"11,221,320"
354,"11,219,978"
355,"11,218,594"
356,"11,218,429"
357,"11,217,270"
358,"11,217,249"
359,"11,217,246"
360,"11,217,234"
361,"11,217,080"
362,"11,216,935"
363,"11,216,747"
364,"11,216,716"
365,"11,216,699"
366,"11,216,694"
367,"11,216,532"
368,"11,216,528"
369,"11,216,497"
370,"11,216,472"
371,"11,216,008"
372,"11,215,993"
373,"11,215,832"
374,"11,212,465"
375,"11,212,132"
376,"11,211,160"
377,"11,211,062"
