,0
0,"11,178,223"
1,"11,178,182"
2,"11,177,043"
3,"11,176,929"
4,"11,176,831"
5,"11,176,656"
6,"11,176,632"
7,"11,176,598"
8,"11,176,475"
9,"11,176,470"
10,"11,176,402"
11,"11,175,518"
12,"11,174,289"
13,"11,173,893"
14,"11,172,369"
15,"11,171,483"
16,"11,170,775"
17,"11,170,662"
18,"11,170,607"
19,"11,170,534"
20,"11,170,473"
21,"11,170,472"
22,"11,170,335"
23,"11,170,268"
24,"11,170,266"
25,"11,170,260"
26,"11,170,239"
27,"11,170,222"
28,"11,170,201"
29,"11,170,055"
30,"11,170,038"
31,"11,167,214"
32,"11,164,586"
33,"11,164,581"
34,"11,164,478"
35,"11,164,383"
36,"11,164,340"
37,"11,164,309"
38,"11,164,236"
39,"11,164,107"
40,"11,164,069"
41,"11,164,045"
42,"11,164,036"
43,"11,164,000"
44,"11,163,637"
45,"11,163,544"
46,"11,163,360"
47,"11,163,270"
48,"11,161,046"
49,"11,161,011"
50,"11,200,075"
51,"11,198,070"
52,"11,198,037"
53,"11,197,608"
54,"11,197,132"
55,"11,196,861"
56,"11,196,804"
57,"11,196,775"
58,"11,195,528"
59,"11,195,516"
60,"11,195,261"
61,"11,195,141"
62,"11,195,102"
63,"11,195,057"
64,"11,195,019"
65,"11,195,010"
66,"11,191,215"
67,"11,190,782"
68,"11,190,538"
69,"11,190,399"
70,"11,189,509"
71,"11,189,378"
72,"11,189,282"
73,"11,189,278"
74,"11,189,272"
75,"11,189,268"
76,"11,188,838"
77,"11,188,833"
78,"11,188,800"
79,"11,188,797"
80,"11,188,741"
81,"11,188,614"
82,"11,188,588"
83,"11,188,436"
84,"11,188,158"
85,"11,185,780"
86,"11,185,229"
87,"11,184,471"
88,"11,183,296"
89,"11,183,190"
90,"11,183,184"
91,"11,183,173"
92,"11,183,031"
93,"11,182,876"
94,"11,182,841"
95,"11,182,748"
96,"11,182,648"
97,"11,182,621"
98,"11,182,457"
99,"11,179,844"
100,"11,216,008"
101,"11,215,993"
102,"11,215,832"
103,"11,212,465"
104,"11,212,132"
105,"11,211,160"
106,"11,211,062"
107,"11,211,059"
108,"11,211,047"
109,"11,211,045"
110,"11,210,836"
111,"11,210,826"
112,"11,210,613"
113,"11,210,567"
114,"11,210,525"
115,"11,210,515"
116,"11,210,499"
117,"11,210,140"
118,"11,207,997"
